Monster Name,Climate/Terrain,Frequency,Organization,Activity Cycle,Diet,Intelligence,Treasure,Alignment,No. Appearing,Armor Class,Movement,Hit Dice,THAC0,No. of Attacks,Damage/Attack,Special Attacks,Special Defenses,Magic Resistance,Size,Morale,XP Value
"Dragon, Linnorm, Dread",Any/Land,Very rare,Solitary,Any,Special,High (13-14),See below,Chaotic evil,1,-4 (base),"18, Sw 12",20 (base),1 (base),3 + special,5d10(&times;2)/6d10/specia1,"Spells, breath weapons","Spells, +1 weapon to hit",See below,G (68' base length),Fanatic (17-18),See below
"Dragon, Linnorm, Flame",Any/Land,Very rare,Solitary,Any,Special,Exceptional (15-16),See below,Neutral evil,1,-4 (base),"24, Fl 39 (B)",20 (base),1 (base),3 + special,3d6(&times;2)/3d10,"Spells, breath weapon",See below,See below,G (40' base length),Fanatic (17-18),See below
"Dragon, Linnorm, Forest",Any nonarctic/Forest,Very rare,Solitary,Any,Special,Average (8-10),See below,Chaotic evil,1,1 (base),"24, Sw 12",11 (base),9 (base),1 + special,2d8/special,"Spells, breath weapon, surprise",Spells,See below,H-G (21' base length),Champion (15-16),See below
"Dragon, Linnorm, Frost","Arctic, subarctic/Land",Very rare,Family,Any,Special,Genius (17-18),See below,Neutral evil,1d8,-4 (base),"12, Sw 18",15 (base),5 (base),2 + special,3d10/4d10/special,"Spells, breath weapon",Spells,See below,G (48' base length),Elite (13-14),See below
"Dragon, Linnorm, Gray",Any/Land,Very rare,Solitary,Any,Special,Very (11-12),See below,Chaotic evil,1,-1 (base),"12, F1 36 (C), Sw 12",13 (base),7 (base),4 + special,4d6(&times;2)/4d10/2d6,"Spells, poisonous tail, breath weapon",Spells,See below,H-G (18' base length),Fearless (19-20),See below
"Dragon, Linnorm, Land",Any nonarctic/Land,Very rare,Solitary,Any,Omnivore,Exceptional (15-16),See below,Chaotic evil,1,-1 (base),"18, Sw 12, Br 12",13 (base),7 (base),4 + special,1d10(&times;2)/3d10/2d10/see below,"Spells, breath weapon",Spells,See below,G (48' base length),Fanatic (17-18),See below
"Dragon, Linnorm, Midgard",Deep ocean/any,Unique,Solitary,Any,Special,Supra-genius (20),"S,T,U,V,W,X (all &times;5)",Lawful evil,1,-12,"18, Sw 39",25 (200 hp),2,4 + special,3d10(&times;2)/2d12/4d10/special,"Spells, breath, constriction","Spells, +2 weapon to hit",70%,G (500' long),Fearless (19),"31,000"
"Dragon, Linnorm, Rain",Any/Land,Very rare,Solitary,Any,Special,Average (8-10),See below,Chaotic evil,1,3 (base),"18, Fl 39 (B), Sw 9",10 (base),11 (base),3 + special,1d12(&times;2)/3d10/see below,"Spells, breath weapon",See below,See below,H-G (20' base length),Fanatic (17-18),See below
"Dragon, Linnorm, Sea","Any/Fresh water, salt water",Very rare,Solitary,Any,Herbivore,Exceptional (15-16),See below,Lawful evil,1,-2 (base),"9, Sw 24",13 (base),7 (base),2 + special,3d10/2d10/special,"Spells, breath weapon, capsize ships, surprise",Spells,See below,G (48' base length),Fanatic (17-18),See below
"Dragon, Mercury",Temperate and subtropical/Mountains (preferably volcanic),Very rare,Solitary or clan,Any,Omnivore,Highly (13-14),See below,Chaotic good,1 (2-5),-1 (base),"15, Fl 36 (C), Jp 3",11 (base),9 (base),3 + special,2-8/2-8/2-20,See below,Variable,See below,H (25' base),Fanatic (17-18),Variable
"Dragon, Metallic, Brass","Arid/Desert, plains",Rare,Solitary or clan,Any,Special,High (13-14),Special,Chaotic good (neutral),1 (2-5),0 (base),"12, Fl 30 (C), Br 6",12 (base),9,3 + special,1-6/1-6/4-16,Special,Varies,Varies,G (30' base),Fanatic (17 base),Varies
"Dragon, Metallic, Bronze","Tropical, sub-tropical, temperate/subterranean, lake shore, sea shore",Very rare,Solitary or clan,Any,Special,Exceptional (15-16),Special,Lawful good,1 (2-5),-2 (base),"9, Fl 30 (C), Sw 12",14 (base),8 (base),3 + special,1-8/1-8/4-24,Special,Varies,Varies,G (42' base),Fanatic (17 base),Varies
"Dragon, Metallic, Copper","Arid, temperate/Hills, mountains",Rare,Solitary or clan,Any,Special,High (13-14),Special,Chaotic good,1 (2-5),1 (base),"9, Fl 30 (C), Jp 3",13 (base),9 (at 13 HD),3 + special,1-6/1-6/5-20,Special,Varies,Varies,G (36' base),Elite (16 base),Varies
"Dragon, Metallic, Gold",Any,Very rare,Solitary or clan,Any,Special,Genius (17-18),Varies,Lawful good,1 (2-5),-4 (base),"12, Fl 40 (C), Jp 3, Sw 12",16 (base),5 (at 16 HD),3 + special,1-10/1-10/6-36 (6d6),Special,Varies,Varies,G (54' base),Fanatic (17-18),Varies
"Dragon, Metallic, Silver","Tropical, sub-tropical, temperate/Mountains, clouds",Very rare,Solitary or clan,Any,Special,Exceptional (15-16),Special,Lawful good,1 (2-5),-3 (base),"9, Fl 30 (C), Jp 3",15 (base),5 (at 15 HD),3 + special,1-8/1-8/5-30 (5d6),Special,Varies,Varies,G (48' base),Fanatic (17-18),Varies
"Dragon, Mist","Tropical and subtropical/Forests, lake shores, sea shores, and river banks",Very rare,Solitary or clan,Any,Special,Exceptional (15-16),Special,Neutral,1 (2-5),1 (base) or -2 (base),"12, Fl 39 (C), Sw 12",11 (base),9 (base),3 + special,2-5/2-5/2-24,Special,Variable,Nil or 15%,G (54' base),Champion (16 base),Variable
"Dragon, Neutral, Amber",Any/Coniferous forest,Very rare,Solitary,Any,Herbivore (tree sap),Exceptional (15-16),Incidental,Neutral,1,3 (base),"9, Fl 21 (C)",8 (base),13 (base),3 + special,1d6(&times;2)/3d8,"Breath weapon, spells, special","Spells, special",See below,H to G (20' base length),Fanatic (17-18),See below
"Dragon, Neutral, Jacinth",Any/Desert,Very rare,Solitary,Any,Special,Genius (17-18),See below,Neutral,1,1 (base),"9, F1 27 (B)",9 (base),13 (base),3 + special,1d6+1(&times;2)/4d6,"Spells, breathe weapon, special","Spells, special",See below,H-G (16' base length),Fanatic (17-18),See below
"Dragon, Neutral, Jade",Temperate/Oriental forests,Very rare,Solitary or clan,Any,Omnivore,Genius (17-18),See below,Neutral,1d3,0 (base),"9, Fl 24 (B)",7 (base),13 (base),3 + special,1d6(&times;2)/5d4,"Breath weapon, spells, special","Spells, special",See below,H-G (18' base length),Fanatic (17-18),See below
"Dragon, Neutral, Moonstone","Any/Sylvan forest, Ethereal plane, dreamscape",Very rare,Solitary,Night,Special,Exceptional (15-16),See below,Neutral,1,-1 (base),"9, Fl 27 (C)",10 (base),9 (base),3 + special,1d6+1/1d6+1/2d12,"Breath weapon, spells, special","Spells, special",See below,H to G (18' base length),Fanatic (17-18),See below
"Dragon, Neutral, Pearl","Any/Rocky coastlines, cliffs",Very rare,Solitary or clan,Any,Carnivore,Exceptional (15-16),See below,Neutral,1d3,2 (base),"9, Fl 18(C), Sw 12",6 (base),15 (base),3 + special,1d4+1(&times;2)/3d6/special,"Spells, breath weapon, special","Spells, special",See below,H-G (14' base),Fanatic (17-18),See below
"Dragon, Oriental, Carp (Yu Lung)","Tropical, subtropical, temperate/Lakes, rivers",Rare,Solitary or clan,Any,Special,Low (5-7),Special,Neutral,45295,1 (base),"6, Sw 18",10 (base),11,3+special,1-8/1-8/2-12,Swallow whole and magical,Varies,Varies,H (18' base),Champion (16),Varies
"Dragon, Oriental, Celestial (T'ien Lung)","Tropical, subtropical, temperate/Mountains",Very rare,Solitary,Any,Special,Exceptional (15-16),Special,Lawful neutral,1,-4 (base),"9, Fl 48 (D), Sw 6",15 (base),5,3 + special,1-8/1-8/4-40,"Breath weapon, snatch, tail slap, kick, and magical abilities",Varies,Varies,G (50' base),Fanatic (18),Varies
"Dragon, Oriental, Coiled (Pan Lung)","Tropical, subtropical, temperate/Swamp and jungle",Rare,Solitary or clan,Any,Special,High (13-14),Special,Chaotic neutral,45295,0 (base),"12, Fl 18 (E), Sw 1",12 (base),9,3 + special,1-6/1-6/2-16,"Snatch, tail slap, constriction and magical abilities",Varies,Varies,G (54' base),Fanatic (17),Varies
"Dragon, Oriental, Earth (Li Lung)","Tropical, subtropical, temperate/Subterranean",Rare,Solitary or clan,Any,Special,Average (8-10),Special,Neutral,45295,2 (base),"12, Fl 30 (E), Sw 9, Br 9",13 (base),7,3 + special,2-8/2-8/2-20,"Snatch, wing buffet, kick, and magical abilities",Varies,Varies,G (30' base),Champion (16),Varies
"Dragon, Oriental, River (Chiang Lung)","Tropical, subtropical, and temperate lakes and rivers",Rare,Solitary or pair,Any,Special,High to genius (11-18),Special,Lawful neutral (good),45293,0 (base),"12, Fl 18 (E), Sw 24",15 (base),5,3+special,1-8/1-8/3-36,"Snatch, tail slap, and magical abilities",Varies,Varies,G (50' base),Fanatic (18),Varies
"Dragon, Oriental, Sea (Lung Wang)","Tropical, subtropical, temperate/Ocean",Very rare,Solitary,Any,Special,Very (11-12),Special,Neutral,1,-2 (base),"3, Sw 12",15 (base),5,3+special,1-12/1-12/3-36,Breath weapon and magical abilities,Varies,Varies,G (40' base),Fanatic (18 base),Varies
"Dragon, Oriental, Spirit (Shen Lung)","Tropical, subtropical, temperate/Lakes and rivers",Rare,Solitary or clan,Any,Special,High (13-14),Special,Chaotic neutral,45295,-1 (base),"12, Fl 18 (E), Sw 9",14 (base),7,4+special,1-8/1-8/2-24/1-10,"Snatch, tail slap, kick, and magical abilities",Varies,Varies,G (48' base),Fanatic (17),Varies
"Dragon, Oriental, Typhoon (Tun Mi Lung)","Tropical, subtropical, temperate/Oceans",Rare,Solitary,Any,Special,Average (8-10),Special,Neutral evil,1,-3 (base),"12, Fl 48 (E), Sw 12",15 (base),5,3 + special,1-6/1-6/2-20,"Snatch, tail slaps, and magical abilities",Varies,Varies,G (60' base),Fanatic (17),Varies
"Dragon, Prismatic",Temperate or tropical,Very rare,Solitary (clan),Day,Omnivore,High (13-14),See below,Chaotic neutral,1 (2-4),0 (base),"9, Fl 30 (C), Sw 12",11 (base),9 (base),3 + special,1d6+1/1d6+1/1d20+2,"Breath weapon, spells, special",Fear,Varies,G (30' base length),Fanatic (17-18),Varies
"Dragon, Sea","Tropical, subtropical, and temperate/Ocean",Rare,Solitary,Any,Special,Highly (13-14),Special,Neutral evil,45297,-2 (base),"3, Sw 12",15 (base),5 (base),3 + special,1-12/1-12/3-36,Breath weapon and magical abilities,Variable,Variable,G (35' base diameter),Fanatic (18),Variable
"Dragon, Shadow","Non-arctic/Ruins, subterranean, and plane of Shadow",Very rare,Solitary or clan,Nocturnal (any on the plane of Shadow),Special,Genius (17-18),Special,Chaotic evil,1 (2-5),-4 (base),"18, Fl 30 (D), Jp 3",12 (base),9 (base),3 + special,1-6/1-6/3-18,Special,Variable,Variable,H (21' base),Champion (16),Variable
"Dragon, Spider",Subterranean caverns,Very rare,Solitary,Any,Special,High (13-14),Special,Neutral evil,1,2 (base),"12, Wb 12",8 (base),13 (at 8 HD),3 + special,1-8/1-8/4-16,"Web, breath weapons",See below,ariable,G (25' base length),Fanatic (17),Variable
"Dragon, Steel","Temperate cities (rarely temperate hills, plains, and forests.)",Very rare,Solitary,Any,Special,Supra-genius (19-20),Special,Lawful neutral (good),1,0 (base),"9, Fl 30(D), Sw 6",11 (base),9 (base),3 + special,1-10/1-10/3-30,Special,Variable,Variable,H (25' base),Fanatic (17-18),Variable
"Dragon, Steel (Draconomicon)","Temperate cities; rarely, temperate/hills, barrens, or forested hills",Very rare,Solitary,Any,Omnivore,Supra-genius (19-20),Special,Lawful neutral (good),1,-2 (base),"12, Fl 30(C)",12 (base),9 (base),3 + special,1-10/1-10/3-30,Special,Variable,Variable,H (25' base),Fanatic (17-18),Variable
"Dragon, Yellow",Desert,Very rare,Solitary,Any,Omnivore,Very (11-12),See below,Chaotic evil,1 (1-4),0 (base),"12, Fl 30 (C)",13 (base),7 (base),3 + special,1-8/1-8/2-16,See below,Variable,See below,G (36' base),Champion (15-16),Variable
"Dragonet, Faerie Dragon","Temperate, tropical, and subtropical forests",Very rare,Solitary or clan,Any,Herbivore,Genius (17-18),"S,T U",Chaotic good,45297,5 (1 when invisible),"6, Fl 24 (A)",See below,17,1,2-Jan,"Breath weapon, spells",Invisibility,See below,T (1-1½' long),Steady (11),"3,000"
"Dragonet, Fire Drake",Temperate/Hills and mountains,Rare,Familial lair,Day,Carnivore,Semi- (2-4),Nil,Neutral,45330,5,"6, Fl 18(C)",4,17,1,8-Feb,Breath weapon,Nil,Nil,S (4' long),Average (9),420
"Dragonet, Pseudodragon",Temperate or subtropical forests and caves,Very rare,Solitary,Day,Omnivore,Average (8-10),Q (&times;10),Neutral (good),1 (50% chance of 1-8 in nests),2,"6, Fl 24 (B)",2,19,1,1-3+special,Poison sting,Chameleon power,35%,T (1½' long),Champion (15),420
Dragonfish,"Subtropical to temperate, shallow fresh water pools, slow streams and rivers",Rare,Solitary,Dusk and night,Scavenger,Non- (0),Nil,Nil,1,5,Sw 6,2,19,1,6-Jan,Spines and poison,Natural camouflage,Nil,T (2' long),Irregular (5),270
"Dragon-kin, Albino Wyrm",Underdark,Rare,Solitary,Any,Carnivore,High (13-14),"I,U (Nil)",Neutral evil,45294,4 base,"15, Br 3",7 base,13 base,3,1d4/1d4/6d6,"Breath weapon, swallow whole, tail",Immune to cold,Varies,Varies,Average (8-10),Varies
"Dragon-kin, Sea Wyrm",Tropical and subtropical seas,Rare,Solitary,Any,Omnivore,Low (5-7),Nil (R&times;2),Chaotic neutral,45294,5,"9, Sw 18",Young (7-8 HD)<br>Adolescent (9-10 HD)<br>Adult (11-12 HD)<br>Ancient (13-14 HD),7-8 HD: 13<br>9-10 HD: 11<br>11-12 HD: 9<br>13-14 HD: 7,1,2d6 (bite) or 3d8 (constriction),"Breath weapon (sleep 3d8 rds), swallow (if adult or ancient)",Nil,Nil,L (up to 12' long) if 7-10 HD<br>H (12'-25' long) if 11-14 HD,Champion (15-16),"7-8 HD: 1,400<br>9-16 HD: 2,000<br>11-12 HD: 3,000<br>13-14 HD: 4,000"
Dragonne,Warm temperate to tropical/Hills and desert,Very rare,Solitary,Dusk to dawn,Carnivore,Low (5-7),"B,S,T",Neutral,1,6 (Flying)/2 (Ground),"15, Fl 9 (E)",9,11,3,1-8/1-8/3-18,Roar,Nil,Nil,M (5' at shoulder),Champion (15),"2,000"
Dragonnel,Any/Non-artic (mostly the Pomarj),Very rare,Solitary or band,Night,Carnivore,Semi- (2.4),Nil,Neutral (evil),45295,Variable (typically 3),"12, Fl 18 (C; D if mounted)",8+4,11,3,1-6/1-6/4-16,Tail slap (2-12),Nil,Nil,H (24'),Elite (13),"2,000"
Dread,Any land,Rare,Solitary or group (as created),Any,,Non- (0),Any (as guardian),Neutral,1 or 1d6,6,"6, Fl 15 (B), Sw 9, Jp 3",3+3,17,1,1d4 or by weapon type,Nil,See below,Nil,S (up to 4' long),Fearless (20),"975<br>Vampiric dread: 1,400"
Dread Warrior,Any,Rare,Band,Day or night,,Low (5-7),Nil,Neutral evil,45303,2 to 4,9,4,17,1,1d8+2 or by weapon +2,Nil,Nil,Nil,M,Fanatic (18),175
"Dream Spawn, Greater, Ennui",The Nightmare Lands,Very rare,Solitary,Night,Special,High (14),Nil,Lawful evil,1,5,"9, Fl 24 (C)",8,13,4 or 2,1d6 &times;4 or by weapon,"Swoop, invisibility",+3 or better weapon to hit,15%,M (6' tall),Champion (16),"6,000"
Dream Stalker,Any,Very rare,Solitary,Night,Dream essences,Average (8-10),Nil,Neutral evil,1,0,Fl 18 (A),3,Nil,1,Special,Coma,+1 or better magical weapons to hit,Nil,T (4&rdquo; diameter),"Elite (13-14), see below",650
Dreamshadow,As creature or person mimicked,Very rare,As creature or person mimicked,As creature or person mimicked,,As the dreamer,As creature or person mimicked (but illusionary),As creature or person mimicked,Varies,As creature or person mimicked,As creature or person mimicked,As creature or person mimicked,As creature or person mimicked,As person or creature mimicked,As person or creature mimicked (but illusionary),As person or creature mimicked (but illusionary),As person or creature mimicked,See below,As person or creature mimicked,As person or creature mimicked,As person or creature mimicked + 10%
Dreamweaver,The Nightmare Lands,Common,Swarm,Night,Special,Low (7),Nil,Lawful neutral,45369,6,"9, Wb 12",1+1,19,1,1,Poison,+1 or better weapon to hit,Nil,T (6&ldquo; diameter),Average (10),420
Dreamwraith,As creature or person mimicked,Very rare,As creature or person mimicked,As creature or person mimicked,,As creature or person mimicked,Nil,Chaotic evil,45295,3,As creature or person mimicked,8,13,1,1-10 or by weapon (illusionary),-1 bonus to initiative roll,Nil,See below,As person or creature mimicked,Elite (14),"2,000"
Dryad,Secluded oak groves,Very rare,Solitary,Any,Herbivore,High (13-14),"M (&times;100), Q (&times;10)",Neutral,1 or 1-6,9,12,2,19,1,1-4 (knife),Charm,See below,50%,M (5' tall),Steady (12),975
Dwarf Crusher,Any Land,Unique,Solitary,Any,,Non- (0),Nil,Neutral,1,5,6,14 (60 hit points),7,1,3d8,"+1 attack bonus vs. dwarves, <i>heat metal</i>","Immune to most spells and weapons, traps edged weapons, +2 bonus to surprise rolls",Nil,L (7' tall),Fearless (19-20),"8,000"
"Dwarf, Aquatic",Temperate/Salt waterDiet,Very rare,Clan,Any ,Omnivorous,Very (11-12),"M, Q (Y, Q x20, Ux2)",Lawful Good,20-200,5 (10),Sw 6,1+1,19,1,By weapon,See below,See below,See below,S to M (4' and taller),Elite (13-14),270
"Dwarf, Arctic",Arctic (Great Glacier),Rare,Clan,Any,Omnivore,Varies (3-18),"M (&times;5), Q","Varies, but usually lawful neutral",10-100,8 (10),6,1,19,1,1-8 (weapon),See below,See below,See below,S (2-3' tall),Elite (13),Varies
"Dwarf, Daergar","Tropical, subtropical and temperate/Subterranean",Uncommon,Clan,Any,Omnivore,Varies (3-18),"M (&times;5); (G,Q (&times;20),R)","Varies, but usually lawful evil",4-400,4 (10),6,1,19,1,1-8 or by weapon,See below,See below,See below,S (4' tall),Elite (13),Varies
"Dwarf, Derro",Any/Subterranean,Very rare,Tribal,Night,Omnivore,Very to genius (13-18),See below,Chaotic evil,45381,5 or 4 (8),9,"3, but see below","17, but see below",1 or 2,By weapon,See below,See below,30%,S (4' tall),Steady (12),975 and up
"Dwarf, Gully","Tropical, subtropical, and temperate/Plain, swamp, forest, jungle, hill, and mountain",Rare,Clan,Any,Omnivore,Varies (3-9),"J (׼); (J,K)","Varies, but usually chaotic neutral",45342,7 (10),6,1,19,1 or 2,1-4/1-4 (fist/bite) or by weapon (1-4),See below,See below,See below,S (4' tall),Unsteady (7),Varies
"Dwarf, Hill, Neidar",Subtropical and temperate/Hills and forests,Common,Clan,Any,Omnivore,Varies (3-18),"M (&times;2); (G,Q (&times;20),R)","Varies, but usually neutral good",1 or clan of 10-100 members,6 (10),6,1,19,1,1-8 (weapon),See below,See below,See below,M (4-5' tall),Elite (13),Varies
"Dwarf, Mountain, Hylar","Tropical, subtropical, and temperate/Subterranean",Uncommon,Clan,Any,Omnivore,Varies (3-18),"M (&times;5),Q; (R (&times;20),G)","Varies, but usually lawful neutral",45406,4 (10),4 (6),1,19,1,1-8 (weapon),See below,See below,See below,M (4½' tall),Elite (13),Varies
"Dwarf, Theiwar",Tropical and temperate/subterranean,Very rare,Clan,Night,Carnivore,Varies (3-18),"M&times;2;(G&times;3,R)","Varies, but usually chaotic evil",45381,7 (10),6,1,19,1 or 2,1-8 (weapon),See below,See below,See below,S (4' tall),Steady (12),Varies
"Dwarf, Urdunnir",Underground,Rare,Clan,Any,Special,Very (11-12),"M,Q (H,R&times;10)",Neutral,10-100,0,"6, Br 6 (<i>stone walk</i>)",2,19,2,1d4,See below,See below,25%,M (4½' and taller),Elite (13-14),"975<br>Leader: 2,000"
"Dwarf, Wild","Subterranean, tropical jungle",Rare,Hunting band,Any,Omnivore,Very (11-12),"K,L,M,Q or V",Lawful neutral,20-200,8 (10),8,1+1,20,1,By weapon type,See below,See below,See below,S (3'),Elite (13-14),270
"Dwarf, Zakhar","Tropical, subtropical, temperate Subterranean",Very rare,Clan,Any,Omnivore,Varies (3-18),"M(&times;5); (G,Q(&times;20),R)","Varies, but usually neutral",45342,3 (10),6,1,19,1,1-8 (weapon),See below,See below,See below,S (3' tall),Elite (13),Varies
Echyan,"Tropical seas, coasts and rivers",Uncommon,School,Any,Carnivore,Animal (1),Nil,Neutral,1d6+6,4 (10),"6, Sw 24",5,15,1,2d4,Swallow whole,Nil,Nil,L (12' long),Average (8-10),"1,400"
"Eel, Giant Moray",Aquatic,Rare,Solitary,Any,Carnivore/scavenger,Animal (1),Incidental,Neutral evil,1 (7-12 in lair),4,Sw 6,5+,15,1 (2),2d4 or 1d4+2/1d4,"Jaw lock, disease, tail lash","Immune to fear and disease, +4 saving throw bonus vs. enfeeblement effects",Nil,L to H (8-20' long),Steady (12) or Fearless (20),HD 5 to 5+3: 420<br>HD 5+4 to 5+12: 650
Ekimmu,"Wilderness, ruins",Very rare,Solitary or band,Nocturnal,Carnivore,Semi- (24),Nil (F 25% chance),Any evil,1 or 1-4,4 or as host,12 or as host,8,Nil or as host,1 or as host,Nil or as host,Possession,"Invisibility; immune to <i>sleep</i>, <i>charm</i>, <i>hold</i>, <i>paralysis</i>, cold-based spells and poison",Nil,L (10' tall),Fearless (20),"3,000"
Elder Brain,Subterranean,Very rare,Solitary,Any,Psychic energy,Supra-Genius (20),Nil,Lawful evil,1,10,0,20,0,0,Nil,"Bud brain golem, psionics",Nil,90%,H (10' diameter on prime),Fearless (20),"13,000"
"Elemental, Air Kin, Aerial Servant","Elemental Plane of Air, Astral Plane, Ethereal Plane",Very rare,Solitary,Any,See below,Semi- (2-4),Nil,Neutral,1,3,Fl 24 (A),16,5,1,31-Aug,Surprise,+1 or better weapon to hit,Nil,L (8' tall),Elite (14),"10,000"
"Elemental, Earth Kin, Chrysmal",Any/Land,Very rare,Solitary,Day,Petrivore,High to exceptional (13-16),Q&times;2d4,Neutral evil,1d6,0,6,6+6,13,1,3d4 (2d4),Crystal missile,See below,Nil,S (3' tall),Champion (15-16),"4,000"
"Elemental, Earth Kin, Earth Weird",Any dry terrain,Very rare,Solitary,Any,See below,Very (11-12),"I,O,P,Y",Chaotic evil,1,0,9,8+3,13,1,1d8,Smothering,See below,Nil,L (10'+ long),Elite (13-14),"5,000"
"Elemental, Earth Kin, Sandling","Temperate or tropical, sandy or subterranean",Rare,Solitary,Any,Minerals,Non- (0),Nil,Neutral,1,3,"12, Br 6",4,17,1,16-Feb,Nil,See below,Nil,L (10' diameter),Unsteady (7),420
"Elemental, Fire Kin, Azer",Any fire (Elemntal Plane of Fire),Very rare (common),Band,Any,Omnivore,Very (11-12),Special,Lawful neutral,2d8,2,12,2+1 to 5+4,19 to 15,1,By weapon type,Heat,Immune to fire,5-20%,M (5' tall),Elite (13-14),"2+1 HD: 420<br>3+2 HD: 650<br>4+3 HD: 975<br>5+4 HD: 1,400"
"Elemental, Fire Kin, Tome Guardian",Any,Very rare,Solitary,Any,"Fire, electricity, and heat",Average (8-10),One guarded object,Neutral,1,2,12 (or as guarded object moves),4+4,15,1,1d4,Fireburst,"Spell immunities, healed by fire",Nil,T (1-2' tall),Fearless (20) when bound<br>Elite (13-14) when free,"3,000"
"Elemental, Nature",Forest,Very rare,Solitary,Any,Unknown,Average (8-10),Nil,Neutral,1,0,12,18,5,2,5d10/5d10,Nil,"Regeneration, immune to protection from evil",Nil,G (35'+),Fearless (20),"15,000"
"Elemental, Sandman",Subtropical or tropical/desert,Rare,Family,Night,Minerals,Average (8-10),"A,Q",Neutral evil,1d6,3,9,4,17,1,Nil,Sleep,See below,20%,M (5-6' tall),Elite (13-14),975
"Elemental, Water Kin, Water Weird",Any water,Very rare,Solitary,Any,See below,Very (11-12),"I,O,P,Y",Chaotic evil,45294,4,12,3+3,15,0,Nil,Drowning,See below,Nil,L (10'+ long),Elite (13),420
"Elemental, Wind Walker","Tropical mountains, deserts, and plains",Rare,Pack,Day,Special,Very (11-12),"C,R",Chaotic neutral,1d3,7,Fl 30 (A),6+3,13,1 per creature within 10',3d6,Attack in series,Spell immunities,See below,L (10-12' long),Elite (13-14),"2,000"
Elf,Temperate to subtropical forest,Uncommon,Bands,Any,Omnivore,High to Supra-genius (14-20),"Individual: N; G,S,T in lair",Chaotic good,20-200,5 (10),12,1+1,19 (18),1,10-Jan,+1 to hit with bow or sword,See below,90% resistance to <i>sleep</i> and all <i>charm</i>-related spells,M (5'+ tall),Elite (13),420
"Elf, Aquatic",Temperate/Shallow salt water,Very rare,Bands,Any,Omnivore,High to genius (14-18),"K,Q, (I,O,X,Y)",Chaotic good,20-120,6 (9),"9, Sw 15",1+1,19,1 or 2,1-8 (weapon),+1 with spears and tridents,See below,90% to <i>sleep</i> and <i>charm</i> spells,M (6'+tall),Elite (13),420
"Elf, Grugach",Temperate/Deep forests,Very rare,Bands,Night,Omnivore,Average to genius (11-18),"N,Q",Chaotic neutral,20-80,6 (10),15,1+1,19,1,1-8 (weapon),+1 with bow and spear,Traps,90% to sleep and charm spells,M (4-5' tall),Elite (13-14),120
"Elf, Half-","Tropical, subtropical and temperate/Forests and plains",Very rare,Solitary,Any,Omnivore,Varies (4-18),"K,V&times;½","Varies, but usually lawful or neutral good",1,5 (10),9 (12),1+1,19 (18),1,1-10 (weapon),See below,See below,See below,M (5-6' tall),Elite (13),Varies
"Elf, High, Qualinesti",Temperate/Forest,Uncommon,Clan,Any,Omnivore,Varies (8-18),"M; (E,S&times;½,T)","Varies, but usually lawful or neutral good",10-100,5 (10),12,1+1,19 (18),1,1-10 (weapon),See below,See below,See below,M (5' tall),Elite (13),Varies
"Elf, High, Silvanesti",Temperate/Forest,Uncommon,Clan,Any,Omnivore,Varies (10-18),"N; (G,S,T)","Varies, but usually chaotic or neutral good",20-200,5 (10),12,1+1,19 (18),1,1-10 (weapon),See below,See below,See below,M (5'+ tall),Elite (13),Varies
"Elf, Rockseer",Subterranean,Very rare,Tribal,Any (night),Omnivore,High to Supra-genius (14-20),"M + 1 jewelry (U,W)",Neutral,5-20 (100 in lair),4 (10),12,1+1 and up,19 or better,1,By weapon,+1 with long sword,"<i>Meld into stone</i>, immune to petrification, 90% resistance to <i>sleep</i>, <i>charm</i>, <i>hold</i>, and <i>web</i>, communal powers",50% vs. Earth magic,M (7'),Champion (15-16),Variable (420+)
"Elf, Sea, Dargonesti","Tropical, subtropical, and temperate/Ocean",Very rare,Clan,Any,Omnivore,Varies (7-18),"F, S in lair","Varies, but usually chaotic or lawful good",14885,8 (10),"9, Sw 15 (or 30 as dolphin)",1+1,19 (18),1,1-10 (weapon),See below,See below,See below,M (5' tall),Elite (13),Varies
"Elf, Sea, Dimernesti","Tropical, subtropical, and temperate/Ocean",Very rare,School,Any,Omnivore,Varies (8-18),"G, (S)","Varies, but usually chaotic or neutral good",10-100,5 (10),"9, SW 15 (or 18 as otter)",1+1,19 (18),1,1-10 (weapon),See below,See below,See below,M (5' tall),Elite (13),Varies
"Elf, Valley",Temperate/Hills,Very rare,Bands,Any,Omnivore,High to supra-genius (14-20),"M,N (G,S,T)",Chaotic neutral,10-40 or 20-240,4 (10),12,1+2,19,1 or more,1-8 (by weapon),+1 with bow or sword,See below,90% to <i>sleep</i> and <i>charm</i> spells,M (5-6' tall),Steady (11),420
"Elf, Wild, Kagonesti","Tropical, subtropical, and temperate/Forests and plains",Very rare,Tribe,Any,Omnivore,Varies (3-12),"R, (S)","Varies, but usually chaotic or neutral good",20-200,8 (10),12 (or 15 if sprinting),1+1,19 (18),1,1-10 (weapon),See below,See below,See below,M (5' tall),Elite (12),Varies
"Elf, Winged","Temperate to subtropical mountains, forests",Rare,Bands,Any,Omnivore,High to Supra- (14-20),"N (G,S,T)",Neutral or chaotic good,45432,8 (10),"9, Fl 18 (C)",1+1,19,1,By weapon,"+1 with lasso, bola, or sword, wing buffet",See below,Nil,M (5'+ tall),Champion (15),650
